personId:ID(Person-ID),first_name,last_name,birth_date:date,age:int,location,genre,bot_score:float,:LABEL
4c419279-d0d6-4290-9563-b42db18dbe9b,Mark,Fields,1981-11-05,43,Brentwood Estates Chicago US,Music,0.12,person
a7d0de70-bd31-45df-8df5-189966f1fe2e,Christine,Murphy,2005-03-12,19,Kensington New York US,Technology,0.77,person
62b2066b-5fbb-44b3-8899-0aa44f528ff8,Theresa,Frye,2012-02-21,12,Keene New York US,Technology,0.76,person
9bef669c-7e66-4d86-bb82-ad3be9ac7c31,Jennifer,Rice,2007-03-27,17,Murray Chicago US,Business and entrepreneurship,0.27,person
e2aed787-255e-463b-a4a0-b1944ee8c706,Sarah,Anderson,1925-10-31,99,Palm Desert Los Angeles US,Photography,0.57,person
a7307b91-5df9-4f1f-8717-32710c3a3c97,Jillian,Paul,1908-05-10,116,Lutz New York US,Gardening,0.24,person
0217219f-9658-430a-b7b5-10de14759e1b,Shelly,Schmitt,1982-03-24,42,Searcy Chicago US,Science,0.4,person
cdbcbd95-8949-4dc3-8b39-8ddc201d6653,Shannon,Taylor,1915-10-07,109,Coralville Chicago US,Politics,0.67,person
18a90538-fe30-49db-9615-a2371bb096b1,Aaron,Lyons,1972-11-29,52,Pahrump Los Angeles US,History,0.2,person
8d1d95f2-fc41-44c9-9eb3-ce452f960fab,Douglas,Howell,1927-08-03,97,Jackson Chicago US,Fitness,0.38,person
01b180f0-1c3a-465a-8f98-59ae0d3fc6a1,Brian,Schultz,1966-03-09,58,Ada Chicago US,Health and wellness,0.1,person
ce4552d1-935b-4996-8fa0-53531080c25a,Amy,Wilkins,1960-10-21,64,Carlsbad Denver US,DIY and crafts,0.24,person
5709ae8c-ca41-46ac-a62d-59b6ccb19ee4,Laura,Williams,2013-09-15,11,Nutley New York US,Science,0.13,person
7d299334-a56d-4fc0-bdc1-91caccf00edc,Anthony,Ryan,1962-08-22,62,Carlsbad Denver US,Technology,0.26,person
1a86b6ec-2539-4097-b1d3-590a92fbec9d,Daniel,Davis,1965-12-03,59,North Lauderdale New York US,DIY and crafts,0.68,person
1584b301-0382-4ba2-b4fe-712b872005fd,Candice,Hardy,1999-03-24,25,Lino Lakes Chicago US,Nature,0.91,person
4c763328-d320-49fb-997f-2694e4b27730,David,Gordon,1955-07-05,69,Palestine Chicago US,Pets,0.92,person
a5e77001-7b9b-418c-86b4-26205630ae10,Timothy,May,1947-08-06,77,Middle River New York US,Gardening,0.6,person
d1274f87-75d1-4c60-82ac-76b7a1c8ab6e,Anna,Herrera,1980-04-21,44,Camarillo Los Angeles US,Books,0.25,person
65a2d033-489c-4836-8373-c81b80e7caf8,James,Swanson,1919-07-20,105,Indio Los Angeles US,DIY and crafts,0.42,person
920f135d-8bff-4987-9e3c-2f9d69923f6c,Joshua,Sheppard,1939-11-25,85,Yonkers New York US,Fitness,0.27,person
24145b15-5a32-4baa-b7ed-feca8c869711,Tara,Miller,1927-10-13,97,Brighton Beach New York US,Science,0.94,person
22097a6b-441e-4927-9a17-60e106519fc0,Stephen,Castillo,2005-02-14,19,Iron River Menominee US,Cars and automobiles,0.77,person
4f036ebe-b17d-40d0-a5fe-70280e75ef49,Robert,Reid,1985-04-05,39,Grand Forks Chicago US,Nature,0.64,person
fac39394-460c-4209-a706-8d9d9624bdb1,Luis,Young,1949-12-28,75,Encinitas Los Angeles US,Travel,0.11,person
1b15c3c3-0115-429b-9c07-a1bd990bb12d,Megan,Wagner,1946-02-08,78,Estelle Chicago US,Art,0.7,person
d626208c-aafa-4222-bbfb-0646da914f33,Daniel,Leonard,2017-11-13,7,Kaukauna Chicago US,Education and learning,0.74,person
45d79df6-18cc-4e42-8d35-478bf411b08a,Joanna,Berry,1908-07-29,116,Scarsdale New York US,Music,0.1,person
82f5c911-77d2-4d06-9301-d941d1861c98,Patricia,Cervantes,1962-01-29,62,Palestine Chicago US,Business and entrepreneurship,0.99,person
9d08da03-5b15-48e6-af92-ab2f634d8780,Tammy,Love,1908-01-30,116,Scarsdale New York US,DIY and crafts,0.32,person
